"ID","Numero_Documento__c","Codigo_Materia","ID_Importacion","Anio_Lectivo","STATUS"
"a04fj000001Z9MPAA0","45147679","GEN-101","45147679_GEN-101_2024-1","2024-1","Item Created"
"a04fj000001Z9MQAA0","33789545","DAT-201","33789545_DAT-201_2024-1","2024-1","Item Created"
"a04fj000001Z9MRAA0","34250668","DEV-101","34250668_DEV-101_2024-1","2024-1","Item Created"
"a04fj000001Z9MSAA0","41943395","GEN-101","41943395_GEN-101_2024-1","2024-1","Item Created"
"a04fj000001Z9MTAA0","37706458","IA-300","37706458_IA-300_2024-1","2024-1","Item Created"
"a04fj000001Z9MUAA0","30309712","NEG-400","30309712_NEG-400_2024-1","2024-1","Item Created"
"a04fj000001Z9MVAA0","43539600","NEG-400","43539600_NEG-400_2024-1","2024-1","Item Created"
"a04fj000001Z9MWAA0","32343092","MKT-200","32343092_MKT-200_2024-1","2024-1","Item Created"
"a04fj000001Z9MXAA0","45688788","DAT-201","45688788_DAT-201_2024-1","2024-1","Item Created"
"a04fj000001Z9MYAA0","45130131","IA-300","45130131_IA-300_2024-1","2024-1","Item Created"
"a04fj000001Z9MZAA0","41111676","DAT-201","41111676_DAT-201_2024-1","2024-1","Item Created"
"a04fj000001Z9MaAAK","44047721","MKT-200","44047721_MKT-200_2024-1","2024-1","Item Created"
"a04fj000001Z9MbAAK","37513790","UX-100","37513790_UX-100_2024-1","2024-1","Item Created"
"a04fj000001Z9McAAK","43449566","DEV-101","43449566_DEV-101_2024-1","2024-1","Item Created"
"a04fj000001Z9MdAAK","31303564","DAT-201","31303564_DAT-201_2024-1","2024-1","Item Created"
"a04fj000001Z9MeAAK","39074649","DEV-101","39074649_DEV-101_2024-1","2024-1","Item Created"
"a04fj000001Z9MfAAK","30542692","NEG-400","30542692_NEG-400_2024-1","2024-1","Item Created"
"a04fj000001Z9MgAAK","34508314","NEG-400","34508314_NEG-400_2024-1","2024-1","Item Created"
"a04fj000001Z9MhAAK","38811418","NEG-400","38811418_NEG-400_2024-1","2024-1","Item Created"
"a04fj000001Z9MiAAK","35891432","DAT-101","35891432_DAT-101_2024-1","2024-1","Item Created"
"a04fj000001Z9MjAAK","36163868","DAT-101","36163868_DAT-101_2024-1","2024-1","Item Created"
"a04fj000001Z9MkAAK","38677145","DEV-101","38677145_DEV-101_2024-1","2024-1","Item Created"
"a04fj000001Z9MlAAK","32971550","UX-100","32971550_UX-100_2024-1","2024-1","Item Created"
"a04fj000001Z9MmAAK","30348701","IA-300","30348701_IA-300_2024-1","2024-1","Item Created"
"a04fj000001Z9MnAAK","41944353","DAT-101","41944353_DAT-101_2024-1","2024-1","Item Created"
"a04fj000001Z9MoAAK","44313136","DAT-101","44313136_DAT-101_2024-1","2024-1","Item Created"
"a04fj000001Z9MpAAK","31763113","UX-100","31763113_UX-100_2024-1","2024-1","Item Created"
"a04fj000001Z9MqAAK","37085503","DEV-101","37085503_DEV-101_2024-1","2024-1","Item Created"
"a04fj000001Z9MrAAK","40578248","MKT-200","40578248_MKT-200_2024-1","2024-1","Item Created"
"a04fj000001Z9MsAAK","33541682","UX-100","33541682_UX-100_2024-1","2024-1","Item Created"
"a04fj000001Z9MtAAK","44012569","GEN-101","44012569_GEN-101_2024-1","2024-1","Item Created"
"a04fj000001Z9MuAAK","42500015","DAT-101","42500015_DAT-101_2024-1","2024-1","Item Created"
"a04fj000001Z9MvAAK","45840080","DAT-101","45840080_DAT-101_2024-1","2024-1","Item Created"
"a04fj000001Z9MwAAK","35376871","NEG-400","35376871_NEG-400_2024-1","2024-1","Item Created"
"a04fj000001Z9MxAAK","39696052","GEN-101","39696052_GEN-101_2024-1","2024-1","Item Created"
"a04fj000001Z9MyAAK","30117903","IA-300","30117903_IA-300_2024-1","2024-1","Item Created"
"a04fj000001Z9MzAAK","41068300","IA-300","41068300_IA-300_2024-1","2024-1","Item Created"
"a04fj000001Z9N0AAK","35620137","NEG-400","35620137_NEG-400_2024-1","2024-1","Item Created"
"a04fj000001Z9N1AAK","38207316","DEV-101","38207316_DEV-101_2024-1","2024-1","Item Created"
