"ID","ID_Evaluacion","ID_Inscripcion","Fecha_Lista","Nota","Estado","STATUS"
"a03fj00000jXDB3AAO","45147679_GEN-101_2024-1_2024-03-01","45147679_GEN-101_2024-1","2024-03-01","10","Aprobado","Item Created"
"a03fj00000jXDB4AAO","33789545_DAT-201_2024-1_2024-03-01","33789545_DAT-201_2024-1","2024-03-01","1","Desaprobado","Item Created"
"a03fj00000jXDB5AAO","34250668_DEV-101_2024-1_2024-03-01","34250668_DEV-101_2024-1","2024-03-01","7","Aprobado","Item Created"
"a03fj00000jXDB6AAO","41943395_GEN-101_2024-1_2024-03-01","41943395_GEN-101_2024-1","2024-03-01","8","Aprobado","Item Created"
"a03fj00000jXDB7AAO","37706458_IA-300_2024-1_2024-03-01","37706458_IA-300_2024-1","2024-03-01","5","Aprobado","Item Created"
"a03fj00000jXDB8AAO","30309712_NEG-400_2024-1_2024-03-01","30309712_NEG-400_2024-1","2024-03-01","3","Desaprobado","Item Created"
"a03fj00000jXDB9AAO","43539600_NEG-400_2024-1_2024-03-02","43539600_NEG-400_2024-1","2024-03-02","5","Aprobado","Item Created"
"a03fj00000jXDBAAA4","32343092_MKT-200_2024-1_2024-03-02","32343092_MKT-200_2024-1","2024-03-02","3","Desaprobado","Item Created"
"a03fj00000jXDBBAA4","45688788_DAT-201_2024-1_2024-03-02","45688788_DAT-201_2024-1","2024-03-02","10","Aprobado","Item Created"
"a03fj00000jXDBCAA4","45130131_IA-300_2024-1_2024-03-02","45130131_IA-300_2024-1","2024-03-02","8","Aprobado","Item Created"
"a03fj00000jXDBDAA4","41111676_DAT-201_2024-1_2024-03-02","41111676_DAT-201_2024-1","2024-03-02","2","Desaprobado","Item Created"
"a03fj00000jXDBEAA4","44047721_MKT-200_2024-1_2024-03-02","44047721_MKT-200_2024-1","2024-03-02","4","Aprobado","Item Created"
"a03fj00000jXDBFAA4","37513790_UX-100_2024-1_2024-03-02","37513790_UX-100_2024-1","2024-03-02","5","Aprobado","Item Created"
"a03fj00000jXDBGAA4","43449566_DEV-101_2024-1_2024-03-02","43449566_DEV-101_2024-1","2024-03-02","6","Aprobado","Item Created"
"a03fj00000jXDBHAA4","31303564_DAT-201_2024-1_2024-03-03","31303564_DAT-201_2024-1","2024-03-03","6","Aprobado","Item Created"
"a03fj00000jXDBIAA4","39074649_DEV-101_2024-1_2024-03-03","39074649_DEV-101_2024-1","2024-03-03","9","Aprobado","Item Created"
"a03fj00000jXDBJAA4","30542692_NEG-400_2024-1_2024-03-03","30542692_NEG-400_2024-1","2024-03-03","10","Aprobado","Item Created"
"a03fj00000jXDBKAA4","34508314_NEG-400_2024-1_2024-03-03","34508314_NEG-400_2024-1","2024-03-03","10","Aprobado","Item Created"
"a03fj00000jXDBLAA4","38811418_NEG-400_2024-1_2024-03-03","38811418_NEG-400_2024-1","2024-03-03","6","Aprobado","Item Created"
"a03fj00000jXDBMAA4","35891432_DAT-101_2024-1_2024-03-03","35891432_DAT-101_2024-1","2024-03-03","3","Desaprobado","Item Created"
"a03fj00000jXDBNAA4","36163868_DAT-101_2024-1_2024-03-04","36163868_DAT-101_2024-1","2024-03-04","7","Aprobado","Item Created"
"a03fj00000jXDBOAA4","38677145_DEV-101_2024-1_2024-03-04","38677145_DEV-101_2024-1","2024-03-04","4","Aprobado","Item Created"
