"ID","Nombre","Apellido","Numero_Documento__c","Email","Telefono","Rol__c","Tipo_Documento__c","STATUS"
"003bm000011c9cHAAQ","Bastian","Torres","45147679","bastian.torres@outlook.com","+54 9 2120 6852","Alumno","DNI","Item Created"
"003bm000011c9cIAAQ","Valentina","Paz","33789545","valentina.paz@gmail.com","+54 9 2627 6570","Alumno","DNI","Item Created"
"003bm000011c9cJAAQ","Guadalupe","Coronel","34250668","guadalupe.coronel@yahoo.com","+54 9 3594 5990","Alumno","DNI","Item Created"
"003bm000011c9cKAAQ","Camilo","Acosta","41943395","camilo.acosta@yahoo.com","+54 9 3164 7718","Alumno","DNI","Item Created"
"003bm000011c9cLAAQ","Luciana","Rodriguez","37706458","luciana.rodriguez@yahoo.com","+54 9 2168 5585","Alumno","DNI","Item Created"
"003bm000011c9cMAAQ","Luna","Suarez","30309712","luna.suarez@hotmail.com","+54 9 2833 8901","Alumno","DNI","Item Created"
"003bm000011c9cNAAQ","Morena","Romero","43539600","","+54 9 2431 8055","Alumno","DNI","Item Created"
"003bm000011c9cOAAQ","Máximo","Rodriguez","32343092","maximo.rodriguez@yahoo.com","+54 9 2693 4828","Alumno","DNI","Item Created"
"003bm000011c9cPAAQ","Mateo","Moreno","45688788","mateo.moreno@hotmail.com","+54 9 3709 2027","Alumno","DNI","Item Created"
"003bm000011c9cQAAQ","Mateo","Dominguez","45130131","mateo.dominguez@hotmail.com","+54 9 2147 5969","Alumno","DNI","Item Created"
"003bm000011c9cRAAQ","Geronimo","Soria","41111676","geronimo.soria@gmail.com","+54 9 3145 1502","Alumno","DNI","Item Created"
"003bm000011c9cSAAQ","Milagros","Soria","44047721","","+54 9 3617 8080","Alumno","DNI","Item Created"
"003bm000011c9cTAAQ","Tomàs","Gonzalez","37513790","tomas.gonzalez@hotmail.com","+54 9 2501 9384","Alumno","DNI","Item Created"
"003bm000011c9cUAAQ","Martina","Gomez","43449566","martina.gomez@hotmail.com","+54 9 3561 0521","Alumno","DNI","Item Created"
"003bm000011c9cVAAQ","Benjamin","Molina","31303564","benjamin.molina@gmail.com","+54 9 3624 3883","Alumno","DNI","Item Created"
"003bm000011c9cWAAQ","Tomàs","Sanchez","39074649","tomas.sanchez@outlook.com","+54 9 2177 5226","Alumno","DNI","Item Created"
"003bm000011c9cXAAQ","Alexander","Soto","30542692","alexander.soto@yahoo.com","+54 9 3295 3328","Alumno","DNI","Item Created"
"003bm000011c9cYAAQ","Valentin","Alvarez","34508314","valentin.alvarez@yahoo.com","+54 9 2368 3900","Alumno","DNI","Item Created"
"003bm000011c9cZAAQ","Lautaro","Sosa","38811418","lautaro.sosa@outlook.com","+54 9 3409 7570","Alumno","DNI","Item Created"
"003bm000011c9caAAA","Juan Martin","Rodriguez","35891432","juan.martin.rodriguez@yahoo.com","+54 9 2905 1290","Alumno","DNI","Item Created"
"003bm000011c9cbAAA","Ludmila","Lopez","36163868","ludmila.lopez@gmail.com","+54 9 2343 3079","Alumno","DNI","Item Created"
"003bm000011c9ccAAA","Dante","Romero","38677145","dante.romero@outlook.com","+54 9 2961 0720","Alumno","DNI","Item Created"
"003bm000011c9cdAAA","Milena","Suarez","32971550","milena.suarez@yahoo.com","+54 9 3191 4580","Alumno","DNI","Item Created"
"003bm000011c9ceAAA","Tomàs","Juarez","30348701","tomas.juarez@yahoo.com","+54 9 2950 1285","Alumno","DNI","Item Created"
"003bm000011c9cfAAA","Benjamin","Hernandez","41944353","benjamin.hernandez@outlook.com","+54 9 2219 9785","Alumno","DNI","Item Created"
"003bm000011c9cgAAA","Santino","Gonzalez","44313136","santino.gonzalez@hotmail.com","+54 9 2861 3870","Alumno","DNI","Item Created"
"003bm000011c9chAAA","Thiago Nicolas","Roldan","31763113","thiago.nicolas.roldan@outlook.com","+54 9 2597 1174","Alumno","DNI","Item Created"
"003bm000011c9ciAAA","Violeta","Suarez","37085503","violeta.suarez@gmail.com","+54 9 3945 4441","Alumno","DNI","Item Created"
"003bm000011c9cjAAA","Faustino","Suarez","40578248","faustino.suarez@yahoo.com","+54 9 3577 8183","Alumno","DNI","Item Created"
"003bm000011c9ckAAA","Valentino","Suarez","33541682","valentino.suarez@gmail.com","+54 9 3650 2039","Alumno","DNI","Item Created"
