"Numero_Documento__c","Codigo_Materia","ID_Importacion","Anio_Lectivo","ERROR"
"45147679","GEN-101","45147679_GEN-101_2024-1","2024-1","Foreign key external ID: 45147679 not found for field Numero_Documento__c in entity Contact"
"33789545","DAT-201","33789545_DAT-201_2024-1","2024-1","Foreign key external ID: 33789545 not found for field Numero_Documento__c in entity Contact"
"34250668","DEV-101","34250668_DEV-101_2024-1","2024-1","Foreign key external ID: 34250668 not found for field Numero_Documento__c in entity Contact"
"41943395","GEN-101","41943395_GEN-101_2024-1","2024-1","Foreign key external ID: 41943395 not found for field Numero_Documento__c in entity Contact"
"37706458","IA-300","37706458_IA-300_2024-1","2024-1","Foreign key external ID: 37706458 not found for field Numero_Documento__c in entity Contact"
"30309712","NEG-400","30309712_NEG-400_2024-1","2024-1","Foreign key external ID: 30309712 not found for field Numero_Documento__c in entity Contact"
"43539600","NEG-400","43539600_NEG-400_2024-1","2024-1","Foreign key external ID: 43539600 not found for field Numero_Documento__c in entity Contact"
"32343092","MKT-200","32343092_MKT-200_2024-1","2024-1","Foreign key external ID: 32343092 not found for field Numero_Documento__c in entity Contact"
"45688788","DAT-201","45688788_DAT-201_2024-1","2024-1","Foreign key external ID: 45688788 not found for field Numero_Documento__c in entity Contact"
"45130131","IA-300","45130131_IA-300_2024-1","2024-1","Foreign key external ID: 45130131 not found for field Numero_Documento__c in entity Contact"
"41111676","DAT-201","41111676_DAT-201_2024-1","2024-1","Foreign key external ID: 41111676 not found for field Numero_Documento__c in entity Contact"
"44047721","MKT-200","44047721_MKT-200_2024-1","2024-1","Foreign key external ID: 44047721 not found for field Numero_Documento__c in entity Contact"
"37513790","UX-100","37513790_UX-100_2024-1","2024-1","Foreign key external ID: 37513790 not found for field Numero_Documento__c in entity Contact"
"43449566","DEV-101","43449566_DEV-101_2024-1","2024-1","Foreign key external ID: 43449566 not found for field Numero_Documento__c in entity Contact"
"31303564","DAT-201","31303564_DAT-201_2024-1","2024-1","Foreign key external ID: 31303564 not found for field Numero_Documento__c in entity Contact"
"39074649","DEV-101","39074649_DEV-101_2024-1","2024-1","Foreign key external ID: 39074649 not found for field Numero_Documento__c in entity Contact"
"30542692","NEG-400","30542692_NEG-400_2024-1","2024-1","Foreign key external ID: 30542692 not found for field Numero_Documento__c in entity Contact"
"34508314","NEG-400","34508314_NEG-400_2024-1","2024-1","Foreign key external ID: 34508314 not found for field Numero_Documento__c in entity Contact"
"38811418","NEG-400","38811418_NEG-400_2024-1","2024-1","Foreign key external ID: 38811418 not found for field Numero_Documento__c in entity Contact"
"35891432","DAT-101","35891432_DAT-101_2024-1","2024-1","Foreign key external ID: 35891432 not found for field Numero_Documento__c in entity Contact"
"36163868","DAT-101","36163868_DAT-101_2024-1","2024-1","Foreign key external ID: 36163868 not found for field Numero_Documento__c in entity Contact"
"38677145","DEV-101","38677145_DEV-101_2024-1","2024-1","Foreign key external ID: 38677145 not found for field Numero_Documento__c in entity Contact"
"32971550","UX-100","32971550_UX-100_2024-1","2024-1","Foreign key external ID: 32971550 not found for field Numero_Documento__c in entity Contact"
"30348701","IA-300","30348701_IA-300_2024-1","2024-1","Foreign key external ID: 30348701 not found for field Numero_Documento__c in entity Contact"
"41944353","DAT-101","41944353_DAT-101_2024-1","2024-1","Foreign key external ID: 41944353 not found for field Numero_Documento__c in entity Contact"
"44313136","DAT-101","44313136_DAT-101_2024-1","2024-1","Foreign key external ID: 44313136 not found for field Numero_Documento__c in entity Contact"
"31763113","UX-100","31763113_UX-100_2024-1","2024-1","Foreign key external ID: 31763113 not found for field Numero_Documento__c in entity Contact"
"37085503","DEV-101","37085503_DEV-101_2024-1","2024-1","Foreign key external ID: 37085503 not found for field Numero_Documento__c in entity Contact"
"40578248","MKT-200","40578248_MKT-200_2024-1","2024-1","Foreign key external ID: 40578248 not found for field Numero_Documento__c in entity Contact"
"33541682","UX-100","33541682_UX-100_2024-1","2024-1","Foreign key external ID: 33541682 not found for field Numero_Documento__c in entity Contact"
"44012569","GEN-101","44012569_GEN-101_2024-1","2024-1","Foreign key external ID: 44012569 not found for field Numero_Documento__c in entity Contact"
"42500015","DAT-101","42500015_DAT-101_2024-1","2024-1","Foreign key external ID: 42500015 not found for field Numero_Documento__c in entity Contact"
"45840080","DAT-101","45840080_DAT-101_2024-1","2024-1","Foreign key external ID: 45840080 not found for field Numero_Documento__c in entity Contact"
"35376871","NEG-400","35376871_NEG-400_2024-1","2024-1","Foreign key external ID: 35376871 not found for field Numero_Documento__c in entity Contact"
"39696052","GEN-101","39696052_GEN-101_2024-1","2024-1","Foreign key external ID: 39696052 not found for field Numero_Documento__c in entity Contact"
"30117903","IA-300","30117903_IA-300_2024-1","2024-1","Foreign key external ID: 30117903 not found for field Numero_Documento__c in entity Contact"
"41068300","IA-300","41068300_IA-300_2024-1","2024-1","Foreign key external ID: 41068300 not found for field Numero_Documento__c in entity Contact"
"35620137","NEG-400","35620137_NEG-400_2024-1","2024-1","Foreign key external ID: 35620137 not found for field Numero_Documento__c in entity Contact"
"38207316","DEV-101","38207316_DEV-101_2024-1","2024-1","Foreign key external ID: 38207316 not found for field Numero_Documento__c in entity Contact"
"42254691","IA-300","42254691_IA-300_2024-1","2024-1","Foreign key external ID: 42254691 not found for field Numero_Documento__c in entity Contact"
"44635112","IA-300","44635112_IA-300_2024-1","2024-1","Foreign key external ID: 44635112 not found for field Numero_Documento__c in entity Contact"
"41289550","UX-100","41289550_UX-100_2024-1","2024-1","Foreign key external ID: 41289550 not found for field Numero_Documento__c in entity Contact"
"45656190","DAT-101","45656190_DAT-101_2024-1","2024-1","Foreign key external ID: 45656190 not found for field Numero_Documento__c in entity Contact"
"31621161","MKT-200","31621161_MKT-200_2024-1","2024-1","Foreign key external ID: 31621161 not found for field Numero_Documento__c in entity Contact"
"42845702","MKT-200","42845702_MKT-200_2024-1","2024-1","Foreign key external ID: 42845702 not found for field Numero_Documento__c in entity Contact"
"35420584","IA-300","35420584_IA-300_2024-1","2024-1","Foreign key external ID: 35420584 not found for field Numero_Documento__c in entity Contact"
"36369209","UX-100","36369209_UX-100_2024-1","2024-1","Foreign key external ID: 36369209 not found for field Numero_Documento__c in entity Contact"
"43625205","UX-100","43625205_UX-100_2024-1","2024-1","Foreign key external ID: 43625205 not found for field Numero_Documento__c in entity Contact"
"44094966","DAT-201","44094966_DAT-201_2024-1","2024-1","Foreign key external ID: 44094966 not found for field Numero_Documento__c in entity Contact"
"35824110","GEN-101","35824110_GEN-101_2024-1","2024-1","Foreign key external ID: 35824110 not found for field Numero_Documento__c in entity Contact"
"40033579","UX-100","40033579_UX-100_2024-1","2024-1","Foreign key external ID: 40033579 not found for field Numero_Documento__c in entity Contact"
"38194575","DAT-101","38194575_DAT-101_2024-1","2024-1","Foreign key external ID: 38194575 not found for field Numero_Documento__c in entity Contact"
"33952849","DAT-201","33952849_DAT-201_2024-1","2024-1","Foreign key external ID: 33952849 not found for field Numero_Documento__c in entity Contact"
"32991581","GEN-101","32991581_GEN-101_2024-1","2024-1","Foreign key external ID: 32991581 not found for field Numero_Documento__c in entity Contact"
"41885509","NEG-400","41885509_NEG-400_2024-1","2024-1","Foreign key external ID: 41885509 not found for field Numero_Documento__c in entity Contact"
"33838303","GEN-101","33838303_GEN-101_2024-1","2024-1","Foreign key external ID: 33838303 not found for field Numero_Documento__c in entity Contact"
"36279807","NEG-400","36279807_NEG-400_2024-1","2024-1","Foreign key external ID: 36279807 not found for field Numero_Documento__c in entity Contact"
"42208457","DAT-201","42208457_DAT-201_2024-1","2024-1","Foreign key external ID: 42208457 not found for field Numero_Documento__c in entity Contact"
"38750180","UX-100","38750180_UX-100_2024-1","2024-1","Foreign key external ID: 38750180 not found for field Numero_Documento__c in entity Contact"
"37222211","DEV-101","37222211_DEV-101_2024-1","2024-1","Foreign key external ID: 37222211 not found for field Numero_Documento__c in entity Contact"
"38645258","MKT-200","38645258_MKT-200_2024-1","2024-1","Foreign key external ID: 38645258 not found for field Numero_Documento__c in entity Contact"
"37604035","DAT-201","37604035_DAT-201_2024-1","2024-1","Foreign key external ID: 37604035 not found for field Numero_Documento__c in entity Contact"
"32160000","DEV-101","32160000_DEV-101_2024-1","2024-1","Foreign key external ID: 32160000 not found for field Numero_Documento__c in entity Contact"
"38223982","UX-100","38223982_UX-100_2024-1","2024-1","Foreign key external ID: 38223982 not found for field Numero_Documento__c in entity Contact"
"41289550","MKT-200","41289550_MKT-200_2024-1","2024-1","Foreign key external ID: 41289550 not found for field Numero_Documento__c in entity Contact"
"33081027","UX-100","33081027_UX-100_2024-1","2024-1","Foreign key external ID: 33081027 not found for field Numero_Documento__c in entity Contact"
"32349994","UX-100","32349994_UX-100_2024-1","2024-1","Foreign key external ID: 32349994 not found for field Numero_Documento__c in entity Contact"
"34636803","MKT-200","34636803_MKT-200_2024-1","2024-1","Foreign key external ID: 34636803 not found for field Numero_Documento__c in entity Contact"
"38629655","IA-300","38629655_IA-300_2024-1","2024-1","Foreign key external ID: 38629655 not found for field Numero_Documento__c in entity Contact"
"36015798","UX-100","36015798_UX-100_2024-1","2024-1","Foreign key external ID: 36015798 not found for field Numero_Documento__c in entity Contact"
"37951141","DAT-101","37951141_DAT-101_2024-1","2024-1","Foreign key external ID: 37951141 not found for field Numero_Documento__c in entity Contact"
"39734889","GEN-101","39734889_GEN-101_2024-1","2024-1","Foreign key external ID: 39734889 not found for field Numero_Documento__c in entity Contact"
"41134242","GEN-101","41134242_GEN-101_2024-1","2024-1","Foreign key external ID: 41134242 not found for field Numero_Documento__c in entity Contact"
"31379964","GEN-101","31379964_GEN-101_2024-1","2024-1","Foreign key external ID: 31379964 not found for field Numero_Documento__c in entity Contact"
"45752068","DAT-101","45752068_DAT-101_2024-1","2024-1","Foreign key external ID: 45752068 not found for field Numero_Documento__c in entity Contact"
"37795993","DEV-101","37795993_DEV-101_2024-1","2024-1","Foreign key external ID: 37795993 not found for field Numero_Documento__c in entity Contact"
"36128228","MKT-200","36128228_MKT-200_2024-1","2024-1","Foreign key external ID: 36128228 not found for field Numero_Documento__c in entity Contact"
"33155313","DAT-101","33155313_DAT-101_2024-1","2024-1","Foreign key external ID: 33155313 not found for field Numero_Documento__c in entity Contact"
"31187731","MKT-200","31187731_MKT-200_2024-1","2024-1","Foreign key external ID: 31187731 not found for field Numero_Documento__c in entity Contact"
"30507337","IA-300","30507337_IA-300_2024-1","2024-1","Foreign key external ID: 30507337 not found for field Numero_Documento__c in entity Contact"
"33195960","GEN-101","33195960_GEN-101_2024-1","2024-1","Foreign key external ID: 33195960 not found for field Numero_Documento__c in entity Contact"
"35524090","MKT-200","35524090_MKT-200_2024-1","2024-1","Foreign key external ID: 35524090 not found for field Numero_Documento__c in entity Contact"
"35081927","DAT-201","35081927_DAT-201_2024-1","2024-1","Foreign key external ID: 35081927 not found for field Numero_Documento__c in entity Contact"
"35845730","NEG-400","35845730_NEG-400_2024-1","2024-1","Foreign key external ID: 35845730 not found for field Numero_Documento__c in entity Contact"
"42574929","IA-300","42574929_IA-300_2024-1","2024-1","Foreign key external ID: 42574929 not found for field Numero_Documento__c in entity Contact"
"31370404","GEN-101","31370404_GEN-101_2024-1","2024-1","Foreign key external ID: 31370404 not found for field Numero_Documento__c in entity Contact"
"35915007","DAT-201","35915007_DAT-201_2024-1","2024-1","Foreign key external ID: 35915007 not found for field Numero_Documento__c in entity Contact"
"35589315","DEV-101","35589315_DEV-101_2024-1","2024-1","Foreign key external ID: 35589315 not found for field Numero_Documento__c in entity Contact"
"32200927","MKT-200","32200927_MKT-200_2024-1","2024-1","Foreign key external ID: 32200927 not found for field Numero_Documento__c in entity Contact"
"42305779","DAT-101","42305779_DAT-101_2024-1","2024-1","Foreign key external ID: 42305779 not found for field Numero_Documento__c in entity Contact"
"40988877","NEG-400","40988877_NEG-400_2024-1","2024-1","Foreign key external ID: 40988877 not found for field Numero_Documento__c in entity Contact"
"32150912","GEN-101","32150912_GEN-101_2024-1","2024-1","Foreign key external ID: 32150912 not found for field Numero_Documento__c in entity Contact"
"34471842","NEG-400","34471842_NEG-400_2024-1","2024-1","Foreign key external ID: 34471842 not found for field Numero_Documento__c in entity Contact"
"33988348","NEG-400","33988348_NEG-400_2024-1","2024-1","Foreign key external ID: 33988348 not found for field Numero_Documento__c in entity Contact"
"31554768","IA-300","31554768_IA-300_2024-1","2024-1","Foreign key external ID: 31554768 not found for field Numero_Documento__c in entity Contact"
"41754338","IA-300","41754338_IA-300_2024-1","2024-1","Foreign key external ID: 41754338 not found for field Numero_Documento__c in entity Contact"
"32474711","IA-300","32474711_IA-300_2024-1","2024-1","Foreign key external ID: 32474711 not found for field Numero_Documento__c in entity Contact"
"41591741","NEG-400","41591741_NEG-400_2024-1","2024-1","Foreign key external ID: 41591741 not found for field Numero_Documento__c in entity Contact"
"36117422","DAT-101","36117422_DAT-101_2024-1","2024-1","Foreign key external ID: 36117422 not found for field Numero_Documento__c in entity Contact"
"36005534","DAT-101","36005534_DAT-101_2024-1","2024-1","Foreign key external ID: 36005534 not found for field Numero_Documento__c in entity Contact"
"32088271","MKT-200","32088271_MKT-200_2024-1","2024-1","Foreign key external ID: 32088271 not found for field Numero_Documento__c in entity Contact"
"37795993","GEN-101","37795993_GEN-101_2024-1","2024-1","Foreign key external ID: 37795993 not found for field Numero_Documento__c in entity Contact"
"37706458","MKT-200","37706458_MKT-200_2024-1","2024-1","Foreign key external ID: 37706458 not found for field Numero_Documento__c in entity Contact"
"42254691","DAT-201","42254691_DAT-201_2024-1","2024-1","Foreign key external ID: 42254691 not found for field Numero_Documento__c in entity Contact"
"42208457","UX-100","42208457_UX-100_2024-1","2024-1","Foreign key external ID: 42208457 not found for field Numero_Documento__c in entity Contact"
"32349994","MKT-200","32349994_MKT-200_2024-1","2024-1","Foreign key external ID: 32349994 not found for field Numero_Documento__c in entity Contact"
"38194575","DAT-201","38194575_DAT-201_2024-1","2024-1","Foreign key external ID: 38194575 not found for field Numero_Documento__c in entity Contact"
"40578248","DAT-201","40578248_DAT-201_2024-1","2024-1","Foreign key external ID: 40578248 not found for field Numero_Documento__c in entity Contact"
"36163868","GEN-101","36163868_GEN-101_2024-1","2024-1","Foreign key external ID: 36163868 not found for field Numero_Documento__c in entity Contact"
"42500015","IA-300","42500015_IA-300_2024-1","2024-1","Foreign key external ID: 42500015 not found for field Numero_Documento__c in entity Contact"
"41943395","IA-300","41943395_IA-300_2024-1","2024-1","Foreign key external ID: 41943395 not found for field Numero_Documento__c in entity Contact"
"34508314","GEN-101","34508314_GEN-101_2024-1","2024-1","Foreign key external ID: 34508314 not found for field Numero_Documento__c in entity Contact"
"30309712","MKT-200","30309712_MKT-200_2024-1","2024-1","Foreign key external ID: 30309712 not found for field Numero_Documento__c in entity Contact"
"38750180","MKT-200","38750180_MKT-200_2024-1","2024-1","Foreign key external ID: 38750180 not found for field Numero_Documento__c in entity Contact"
"42208457","GEN-101","42208457_GEN-101_2024-1","2024-1","Foreign key external ID: 42208457 not found for field Numero_Documento__c in entity Contact"
"34508314","IA-300","34508314_IA-300_2024-1","2024-1","Foreign key external ID: 34508314 not found for field Numero_Documento__c in entity Contact"
"30348701","GEN-101","30348701_GEN-101_2024-1","2024-1","Foreign key external ID: 30348701 not found for field Numero_Documento__c in entity Contact"
"38223982","DAT-101","38223982_DAT-101_2024-1","2024-1","Foreign key external ID: 38223982 not found for field Numero_Documento__c in entity Contact"
"34508314","UX-100","34508314_UX-100_2024-1","2024-1","Foreign key external ID: 34508314 not found for field Numero_Documento__c in entity Contact"
"31370404","DAT-201","31370404_DAT-201_2024-1","2024-1","Foreign key external ID: 31370404 not found for field Numero_Documento__c in entity Contact"
